id,person,organization,location,date
0000800d9058217f6509d7e63ad475e2de0da611.story,"Richard Spillett, Carer Kim Taylor, Kim Taylor, Jake, Evelyn Raywood, Yasin Patel, Philip Le Shirley, Fire chiefs, London fire chiefs, Jean Booth, Barmaid Laura Baty, Laura Baty, Charlie Pugsley","Ford Mondeo, Prestige Vaping， the Royal Society for the Prevention of Accidents","Chesterfield, Derbyshire, Leicester, East London, Wythenshawe Hospital, Manchester, Richmond, North Yorkshire",
0001d4ce3598e37f20a47fe609736f72e5d73467.story,"shooting instructor, nine-year-old girl, Charles Vacca, Sam Scarmardo, Mike Murphy, Mohave County Sheriff, Jim McCabe, Liz Matthews, Nikki Bateman, Cameron Atfield","Arizona shooting range, NBC News , MSNBC, Las Vegas Review Journal, John Clayton Show","Nevada, Bullets and Burgers, Arizona, Las Vegas, White Hills, Lake Havasu City",
0002067d13d3ca304e0bc98d04dde85d4091c55e.story,"Paul Maxwell, Joe Smales, Niall Pawson, Bert, Mr Justice Butterfield, Rochdale, Tameside","Greater Manchester Police, Leeds Crown Court","Rochdale town centre, Wakefield, West Yorkshire","2/22/2014, 1996, 1998, 2011, June 1996"
000219931d2c3aae55dc2acdc5f690d0c112ab17.story,"Una Crown, retired postmistress, Jack Roland Crown, William Morris, Simon Gledhill, Judith Paynes, Nat Carey, Fraser Wylie, Constable Mark Hopkins","Home Office, Bedfordshire, Cambridgeshire and Hertfordshire professional standards department","Wisbech, Cambridgeshire, Huntingdon","1/13/2013, June 2013"
00022dbfa44ccdb94c1dc06938047e258076cf75.story,"Chris Brooke, Paul Smith, Richard Woolfall, David Gordon","Taliban, Hull Crown Court",East Hull,3-Sep-12
0002b1d590aa4d2f6f000a03947317b6dc4e5c18.story,"Ryan Kisiel, Mark Duell, Alexander Litvinenko, Russian spy, Andrei Lugovoy, Dmitry Kovturn, Marina Litvinenko, Vladimir Putin, Hugh Davies, Robert Owen, Ben Emmerson QC, Anatoli, Lugovoy, Kovtun","British intelligence, KGB, MI5, MI6, The Daily Mail, The Metropolitan Police Service, Her Majesty’s Government, High Court, Scotland Yard, Crown Prosecution Service","London hotel, Scotland, Millennium
Hotel, Grosvenor Square","9/20/2012, November 1, 2006"
0002b6c22d2efa3af4971f9d515178bb89e31934.story,"Mark Duell, Marcel Maden, Gary Kelly","Manchester Crown Court, Greater Manchester Police","Salford, Greater Manchester",14-Mar-13
0002c17436637c4fe1837c935c04de47adb18e9a.story,"Harry Burkhart, Blaga Stancheva, Dorothee, Sean Carney, Los Angeles County Deputy District Attorney, Upinder Kalra, Steve Cooley, Los Angeles District Attorney, Edward Nordskog, Nordskog, Deputy U.S. Marshals, Dorothee Burkhart, Gunther Meilinger","CNN, Canadian government, Los Angeles Superior Court","Vancouver, British Columbia, Canada, Los Angeles, Hollywood, West Hollywood, Sherman Oaks, Neukirchen, Frankfurt, Germany, United States, Los Angeles jail","2010, March of 2010, between 2000 and 2006, September, 2011, January 24"
00030c0cba08a5b361fd3ecb4dbf232da8269c55.story,"Graham Smith, Honey, Barbara Roberts",Withington Hedgehog Hospital Trust,Manchester,"6/23/2012, 2025, 2001"
0003ad6ef0c37534f80b55b4235108024b407f0b.story,"Jose Carlos Montano, Mark Gagan, Cody Ray Smith, Ari Abdallah Morales, Marcelles James Peter, Manuel Ortega, Salvador Rodriguez","CNN, Richmond Police","northern California high school campus, San Pablo, California, Richmond, the Richmond High School, Contra Costa County Superior Court",
00050e5dbf398963ad40cb6ff81c918c932cc809.story,"Edd Filiti, Blamed Sylvester, Jennifer Flavin, Mike Larkin, Sylvester Stallone, Toni Ann, Sasha Czack, Mark Berry","Rambo, New York Post, Los Angeles Police Department, RadarOnline","Hollywood Hills, Comic Con","7/6/2023, 16 July 2012, 1996, 1985, 1990"
